work_order_id,failure_mode,action
WO-00001,shaft_misalignment,Vibration Analysis
WO-00001,shaft_misalignment,Alignment Check
WO-00002,lubrication_failure,Lubrication Service
WO-00002,lubrication_failure,Filter Replacement
WO-00003,shaft_misalignment,Shaft Repair Kit
WO-00003,shaft_misalignment,Alignment Check
WO-00003,shaft_misalignment,Vibration Analysis
WO-00003,shaft_misalignment,Coupling Inspection
WO-00004,lubrication_failure,Lubrication Service
WO-00004,lubrication_failure,Filter Replacement
WO-00005,lubrication_failure,Seal Inspection
WO-00005,lubrication_failure,Lubrication Service
WO-00005,lubrication_failure,Oil Sample Test
WO-00005,lubrication_failure,Filter Replacement
WO-00006,bearing_wear,Vibration Analysis
WO-00006,bearing_wear,Alignment Check
WO-00006,bearing_wear,Lubrication Service
WO-00007,rotor_imbalance,Vibration Analysis
WO-00007,rotor_imbalance,Rotor Balancing Kit
WO-00008,shaft_misalignment,Alignment Check
WO-00008,shaft_misalignment,Coupling Inspection
WO-00008,shaft_misalignment,Vibration Analysis
WO-00009,seal_leakage,Housing Inspection
WO-00009,seal_leakage,Pressure Test
WO-00010,shaft_misalignment,Alignment Check
WO-00010,shaft_misalignment,Vibration Analysis
WO-00010,shaft_misalignment,Coupling Inspection
WO-00011,cavitation,Suction Line Check
WO-00011,cavitation,Pressure Test
WO-00011,cavitation,Impeller Inspection
WO-00011,cavitation,Flow Rate Calibration
WO-00012,lubrication_failure,Lubrication Service
WO-00012,lubrication_failure,Seal Inspection
WO-00012,lubrication_failure,Filter Replacement
WO-00013,impeller_erosion,Flow Rate Calibration
WO-00013,impeller_erosion,Housing Inspection
WO-00013,impeller_erosion,Impeller Replacement Kit
WO-00014,cavitation,Suction Line Check
WO-00014,cavitation,Pressure Test
WO-00014,cavitation,Flow Rate Calibration
WO-00015,shaft_misalignment,Coupling Inspection
WO-00015,shaft_misalignment,Vibration Analysis
WO-00015,shaft_misalignment,Alignment Check
WO-00015,shaft_misalignment,Shaft Repair Kit
WO-00016,motor_winding_failure,Motor Current Calibration
WO-00016,motor_winding_failure,Cooling System Check
WO-00016,motor_winding_failure,Motor Winding Repair Kit
WO-00017,cavitation,Suction Line Check
WO-00017,cavitation,Impeller Inspection
WO-00018,cavitation,Pressure Test
WO-00018,cavitation,Impeller Inspection
WO-00018,cavitation,Flow Rate Calibration
WO-00019,cavitation,Flow Rate Calibration
WO-00019,cavitation,Suction Line Check
WO-00020,motor_winding_failure,Motor Current Calibration
WO-00020,motor_winding_failure,Motor Winding Repair Kit
WO-00021,lubrication_failure,Filter Replacement
WO-00021,lubrication_failure,Seal Inspection
WO-00021,lubrication_failure,Oil Sample Test
WO-00021,lubrication_failure,Lubrication Service
WO-00022,cavitation,Suction Line Check
WO-00022,cavitation,Pressure Test
WO-00023,motor_winding_failure,Motor Winding Repair Kit
WO-00023,motor_winding_failure,Cooling System Check
WO-00024,rotor_imbalance,Bearing Inspection
WO-00024,rotor_imbalance,Vibration Analysis
WO-00025,shaft_misalignment,Shaft Repair Kit
WO-00025,shaft_misalignment,Vibration Analysis
WO-00025,shaft_misalignment,Coupling Inspection
WO-00026,seal_leakage,Seal Replacement Kit
WO-00026,seal_leakage,Pressure Test
WO-00026,seal_leakage,Housing Inspection
WO-00026,seal_leakage,Gasket Kit
WO-00027,cavitation,Pressure Test
WO-00027,cavitation,Suction Line Check
WO-00028,rotor_imbalance,Rotor Balancing Kit
WO-00028,rotor_imbalance,Vibration Analysis
WO-00028,rotor_imbalance,Bearing Inspection
WO-00029,shaft_misalignment,Vibration Analysis
WO-00029,shaft_misalignment,Shaft Repair Kit
WO-00029,shaft_misalignment,Alignment Check
WO-00029,shaft_misalignment,Coupling Inspection
WO-00030,cavitation,Impeller Inspection
WO-00030,cavitation,Pressure Test
WO-00031,cavitation,Impeller Inspection
WO-00031,cavitation,Flow Rate Calibration
WO-00031,cavitation,Suction Line Check
WO-00032,seal_leakage,Seal Replacement Kit
WO-00032,seal_leakage,Housing Inspection
WO-00033,shaft_misalignment,Shaft Repair Kit
WO-00033,shaft_misalignment,Alignment Check
WO-00034,rotor_imbalance,Bearing Inspection
WO-00034,rotor_imbalance,Vibration Analysis
WO-00035,rotor_imbalance,Bearing Inspection
WO-00035,rotor_imbalance,Vibration Analysis
WO-00035,rotor_imbalance,Rotor Balancing Kit
WO-00036,lubrication_failure,Filter Replacement
WO-00036,lubrication_failure,Oil Sample Test
WO-00036,lubrication_failure,Seal Inspection
WO-00036,lubrication_failure,Lubrication Service
WO-00037,motor_winding_failure,Insulation Test
WO-00037,motor_winding_failure,Motor Winding Repair Kit
WO-00038,shaft_misalignment,Alignment Check
WO-00038,shaft_misalignment,Vibration Analysis
WO-00038,shaft_misalignment,Shaft Repair Kit
WO-00039,lubrication_failure,Lubrication Service
WO-00039,lubrication_failure,Filter Replacement
WO-00040,bearing_wear,Bearing Replacement Kit
WO-00040,bearing_wear,Oil Sample Test
WO-00040,bearing_wear,Lubrication Service
WO-00041,shaft_misalignment,Coupling Inspection
WO-00041,shaft_misalignment,Shaft Repair Kit
WO-00041,shaft_misalignment,Vibration Analysis
WO-00041,shaft_misalignment,Alignment Check
WO-00042,rotor_imbalance,Rotor Balancing Kit
WO-00042,rotor_imbalance,Vibration Analysis
WO-00042,rotor_imbalance,Bearing Inspection
WO-00043,lubrication_failure,Lubrication Service
WO-00043,lubrication_failure,Filter Replacement
WO-00044,impeller_erosion,Flow Rate Calibration
WO-00044,impeller_erosion,Housing Inspection
WO-00044,impeller_erosion,Impeller Replacement Kit
WO-00045,bearing_wear,Bearing Replacement Kit
WO-00045,bearing_wear,Vibration Analysis
WO-00046,cavitation,Suction Line Check
WO-00046,cavitation,Impeller Inspection
WO-00047,lubrication_failure,Seal Inspection
WO-00047,lubrication_failure,Lubrication Service
WO-00047,lubrication_failure,Oil Sample Test
WO-00047,lubrication_failure,Filter Replacement
WO-00048,seal_leakage,Gasket Kit
WO-00048,seal_leakage,Seal Replacement Kit
WO-00048,seal_leakage,Housing Inspection
WO-00049,shaft_misalignment,Alignment Check
WO-00049,shaft_misalignment,Shaft Repair Kit
WO-00050,lubrication_failure,Seal Inspection
WO-00050,lubrication_failure,Oil Sample Test
WO-00051,motor_winding_failure,Cooling System Check
WO-00051,motor_winding_failure,Motor Winding Repair Kit
WO-00052,rotor_imbalance,Rotor Balancing Kit
WO-00052,rotor_imbalance,Vibration Analysis
WO-00052,rotor_imbalance,Bearing Inspection
WO-00053,motor_winding_failure,Cooling System Check
WO-00053,motor_winding_failure,Motor Current Calibration
WO-00053,motor_winding_failure,Insulation Test
WO-00054,rotor_imbalance,Vibration Analysis
WO-00054,rotor_imbalance,Rotor Balancing Kit
WO-00055,bearing_wear,Alignment Check
WO-00055,bearing_wear,Bearing Replacement Kit
WO-00056,bearing_wear,Oil Sample Test
WO-00056,bearing_wear,Lubrication Service
WO-00056,bearing_wear,Bearing Replacement Kit
WO-00056,bearing_wear,Alignment Check
WO-00056,bearing_wear,Vibration Analysis
WO-00057,shaft_misalignment,Alignment Check
WO-00057,shaft_misalignment,Vibration Analysis
WO-00057,shaft_misalignment,Shaft Repair Kit
WO-00057,shaft_misalignment,Coupling Inspection
WO-00058,shaft_misalignment,Coupling Inspection
WO-00058,shaft_misalignment,Vibration Analysis
WO-00058,shaft_misalignment,Alignment Check
WO-00058,shaft_misalignment,Shaft Repair Kit
WO-00059,impeller_erosion,Flow Rate Calibration
WO-00059,impeller_erosion,Impeller Replacement Kit
WO-00059,impeller_erosion,Housing Inspection
WO-00060,lubrication_failure,Seal Inspection
WO-00060,lubrication_failure,Lubrication Service
WO-00060,lubrication_failure,Oil Sample Test
WO-00061,motor_winding_failure,Motor Winding Repair Kit
WO-00061,motor_winding_failure,Cooling System Check
WO-00061,motor_winding_failure,Insulation Test
WO-00062,shaft_misalignment,Coupling Inspection
WO-00062,shaft_misalignment,Vibration Analysis
WO-00063,seal_leakage,Pressure Test
WO-00063,seal_leakage,Seal Replacement Kit
WO-00064,lubrication_failure,Filter Replacement
WO-00064,lubrication_failure,Lubrication Service
WO-00064,lubrication_failure,Oil Sample Test
WO-00065,seal_leakage,Seal Replacement Kit
WO-00065,seal_leakage,Pressure Test
WO-00065,seal_leakage,Gasket Kit
WO-00065,seal_leakage,Housing Inspection
WO-00066,rotor_imbalance,Rotor Balancing Kit
WO-00066,rotor_imbalance,Bearing Inspection
WO-00066,rotor_imbalance,Vibration Analysis
WO-00067,seal_leakage,Gasket Kit
WO-00067,seal_leakage,Pressure Test
WO-00067,seal_leakage,Housing Inspection
WO-00068,lubrication_failure,Filter Replacement
WO-00068,lubrication_failure,Seal Inspection
WO-00068,lubrication_failure,Oil Sample Test
WO-00068,lubrication_failure,Lubrication Service
WO-00069,bearing_wear,Vibration Analysis
WO-00069,bearing_wear,Alignment Check
WO-00070,bearing_wear,Alignment Check
WO-00070,bearing_wear,Lubrication Service
WO-00071,seal_leakage,Housing Inspection
WO-00071,seal_leakage,Pressure Test
WO-00072,impeller_erosion,Impeller Replacement Kit
WO-00072,impeller_erosion,Housing Inspection
WO-00073,rotor_imbalance,Vibration Analysis
WO-00073,rotor_imbalance,Rotor Balancing Kit
WO-00074,impeller_erosion,Impeller Replacement Kit
WO-00074,impeller_erosion,Flow Rate Calibration
WO-00075,cavitation,Pressure Test
WO-00075,cavitation,Impeller Inspection
WO-00076,lubrication_failure,Lubrication Service
WO-00076,lubrication_failure,Oil Sample Test
WO-00076,lubrication_failure,Filter Replacement
WO-00076,lubrication_failure,Seal Inspection
WO-00077,lubrication_failure,Oil Sample Test
WO-00077,lubrication_failure,Seal Inspection
WO-00078,bearing_wear,Alignment Check
WO-00078,bearing_wear,Vibration Analysis
WO-00078,bearing_wear,Oil Sample Test
WO-00079,lubrication_failure,Oil Sample Test
WO-00079,lubrication_failure,Filter Replacement
WO-00079,lubrication_failure,Lubrication Service
WO-00080,impeller_erosion,Flow Rate Calibration
WO-00080,impeller_erosion,Impeller Replacement Kit
WO-00081,lubrication_failure,Filter Replacement
WO-00081,lubrication_failure,Oil Sample Test
WO-00081,lubrication_failure,Lubrication Service
WO-00082,lubrication_failure,Oil Sample Test
WO-00082,lubrication_failure,Seal Inspection
WO-00083,cavitation,Impeller Inspection
WO-00083,cavitation,Suction Line Check
WO-00083,cavitation,Pressure Test
WO-00084,impeller_erosion,Impeller Replacement Kit
WO-00084,impeller_erosion,Housing Inspection
WO-00084,impeller_erosion,Flow Rate Calibration
WO-00085,rotor_imbalance,Rotor Balancing Kit
WO-00085,rotor_imbalance,Bearing Inspection
WO-00085,rotor_imbalance,Vibration Analysis
WO-00086,cavitation,Pressure Test
WO-00086,cavitation,Suction Line Check
WO-00086,cavitation,Impeller Inspection
WO-00086,cavitation,Flow Rate Calibration
WO-00087,lubrication_failure,Lubrication Service
WO-00087,lubrication_failure,Filter Replacement
WO-00087,lubrication_failure,Oil Sample Test
WO-00088,bearing_wear,Alignment Check
WO-00088,bearing_wear,Vibration Analysis
WO-00088,bearing_wear,Bearing Replacement Kit
WO-00089,cavitation,Pressure Test
WO-00089,cavitation,Flow Rate Calibration
WO-00089,cavitation,Impeller Inspection
WO-00089,cavitation,Suction Line Check
WO-00090,seal_leakage,Housing Inspection
WO-00090,seal_leakage,Gasket Kit
WO-00090,seal_leakage,Pressure Test
WO-00090,seal_leakage,Seal Replacement Kit
WO-00091,rotor_imbalance,Vibration Analysis
WO-00091,rotor_imbalance,Bearing Inspection
WO-00092,rotor_imbalance,Vibration Analysis
WO-00092,rotor_imbalance,Rotor Balancing Kit
WO-00092,rotor_imbalance,Bearing Inspection
WO-00093,seal_leakage,Housing Inspection
WO-00093,seal_leakage,Pressure Test
WO-00094,cavitation,Flow Rate Calibration
WO-00094,cavitation,Suction Line Check
WO-00094,cavitation,Impeller Inspection
WO-00095,motor_winding_failure,Insulation Test
WO-00095,motor_winding_failure,Motor Current Calibration
WO-00095,motor_winding_failure,Motor Winding Repair Kit
WO-00095,motor_winding_failure,Cooling System Check
WO-00096,cavitation,Suction Line Check
WO-00096,cavitation,Pressure Test
WO-00097,seal_leakage,Gasket Kit
WO-00097,seal_leakage,Seal Replacement Kit
WO-00098,bearing_wear,Lubrication Service
WO-00098,bearing_wear,Vibration Analysis
WO-00099,shaft_misalignment,Shaft Repair Kit
WO-00099,shaft_misalignment,Vibration Analysis
WO-00099,shaft_misalignment,Alignment Check
WO-00100,impeller_erosion,Flow Rate Calibration
WO-00100,impeller_erosion,Impeller Replacement Kit
WO-00100,impeller_erosion,Housing Inspection
WO-00101,bearing_wear,Vibration Analysis
WO-00101,bearing_wear,Lubrication Service
WO-00102,rotor_imbalance,Rotor Balancing Kit
WO-00102,rotor_imbalance,Bearing Inspection
WO-00102,rotor_imbalance,Vibration Analysis
WO-00103,motor_winding_failure,Cooling System Check
WO-00103,motor_winding_failure,Motor Current Calibration
WO-00104,cavitation,Flow Rate Calibration
WO-00104,cavitation,Pressure Test
WO-00104,cavitation,Suction Line Check
WO-00105,rotor_imbalance,Vibration Analysis
WO-00105,rotor_imbalance,Bearing Inspection
WO-00105,rotor_imbalance,Rotor Balancing Kit
WO-00106,seal_leakage,Housing Inspection
WO-00106,seal_leakage,Pressure Test
WO-00106,seal_leakage,Seal Replacement Kit
WO-00106,seal_leakage,Gasket Kit
WO-00107,motor_winding_failure,Motor Current Calibration
WO-00107,motor_winding_failure,Motor Winding Repair Kit
WO-00108,seal_leakage,Pressure Test
WO-00108,seal_leakage,Housing Inspection
WO-00108,seal_leakage,Seal Replacement Kit
WO-00109,rotor_imbalance,Rotor Balancing Kit
WO-00109,rotor_imbalance,Vibration Analysis
WO-00110,rotor_imbalance,Rotor Balancing Kit
WO-00110,rotor_imbalance,Vibration Analysis
WO-00111,impeller_erosion,Housing Inspection
WO-00111,impeller_erosion,Flow Rate Calibration
WO-00111,impeller_erosion,Impeller Replacement Kit
WO-00112,bearing_wear,Vibration Analysis
WO-00112,bearing_wear,Oil Sample Test
WO-00112,bearing_wear,Alignment Check
WO-00113,bearing_wear,Vibration Analysis
WO-00113,bearing_wear,Bearing Replacement Kit
WO-00113,bearing_wear,Lubrication Service
WO-00113,bearing_wear,Alignment Check
WO-00113,bearing_wear,Oil Sample Test
WO-00114,impeller_erosion,Flow Rate Calibration
WO-00114,impeller_erosion,Impeller Replacement Kit
WO-00115,seal_leakage,Housing Inspection
WO-00115,seal_leakage,Seal Replacement Kit
WO-00115,seal_leakage,Gasket Kit
WO-00116,cavitation,Flow Rate Calibration
WO-00116,cavitation,Pressure Test
WO-00116,cavitation,Impeller Inspection
WO-00116,cavitation,Suction Line Check
WO-00117,rotor_imbalance,Vibration Analysis
WO-00117,rotor_imbalance,Rotor Balancing Kit
WO-00118,shaft_misalignment,Shaft Repair Kit
WO-00118,shaft_misalignment,Alignment Check
WO-00118,shaft_misalignment,Coupling Inspection
WO-00118,shaft_misalignment,Vibration Analysis
WO-00119,bearing_wear,Vibration Analysis
WO-00119,bearing_wear,Alignment Check
WO-00119,bearing_wear,Bearing Replacement Kit
WO-00119,bearing_wear,Lubrication Service
WO-00120,cavitation,Flow Rate Calibration
WO-00120,cavitation,Suction Line Check
WO-00120,cavitation,Pressure Test
WO-00121,seal_leakage,Housing Inspection
WO-00121,seal_leakage,Seal Replacement Kit
WO-00122,bearing_wear,Lubrication Service
WO-00122,bearing_wear,Bearing Replacement Kit
WO-00122,bearing_wear,Alignment Check
WO-00122,bearing_wear,Vibration Analysis
WO-00123,bearing_wear,Lubrication Service
WO-00123,bearing_wear,Bearing Replacement Kit
WO-00123,bearing_wear,Alignment Check
WO-00124,rotor_imbalance,Rotor Balancing Kit
WO-00124,rotor_imbalance,Vibration Analysis
WO-00125,shaft_misalignment,Coupling Inspection
WO-00125,shaft_misalignment,Shaft Repair Kit
WO-00125,shaft_misalignment,Vibration Analysis
WO-00125,shaft_misalignment,Alignment Check
WO-00126,rotor_imbalance,Rotor Balancing Kit
WO-00126,rotor_imbalance,Vibration Analysis
WO-00127,shaft_misalignment,Alignment Check
WO-00127,shaft_misalignment,Coupling Inspection
WO-00127,shaft_misalignment,Vibration Analysis
WO-00127,shaft_misalignment,Shaft Repair Kit
WO-00128,lubrication_failure,Oil Sample Test
WO-00128,lubrication_failure,Lubrication Service
WO-00129,seal_leakage,Seal Replacement Kit
WO-00129,seal_leakage,Pressure Test
WO-00129,seal_leakage,Housing Inspection
WO-00129,seal_leakage,Gasket Kit
WO-00130,impeller_erosion,Impeller Replacement Kit
WO-00130,impeller_erosion,Flow Rate Calibration
WO-00130,impeller_erosion,Housing Inspection
WO-00131,impeller_erosion,Impeller Replacement Kit
WO-00131,impeller_erosion,Flow Rate Calibration
WO-00131,impeller_erosion,Housing Inspection
WO-00132,motor_winding_failure,Insulation Test
WO-00132,motor_winding_failure,Cooling System Check
WO-00132,motor_winding_failure,Motor Winding Repair Kit
WO-00132,motor_winding_failure,Motor Current Calibration
WO-00133,motor_winding_failure,Cooling System Check
WO-00133,motor_winding_failure,Motor Current Calibration
WO-00133,motor_winding_failure,Insulation Test
WO-00134,cavitation,Impeller Inspection
WO-00134,cavitation,Suction Line Check
WO-00135,motor_winding_failure,Cooling System Check
WO-00135,motor_winding_failure,Motor Current Calibration
WO-00136,impeller_erosion,Impeller Replacement Kit
WO-00136,impeller_erosion,Flow Rate Calibration
WO-00136,impeller_erosion,Housing Inspection
WO-00137,rotor_imbalance,Rotor Balancing Kit
WO-00137,rotor_imbalance,Vibration Analysis
WO-00137,rotor_imbalance,Bearing Inspection
WO-00138,cavitation,Pressure Test
WO-00138,cavitation,Flow Rate Calibration
WO-00138,cavitation,Impeller Inspection
WO-00139,lubrication_failure,Oil Sample Test
WO-00139,lubrication_failure,Filter Replacement
WO-00140,impeller_erosion,Housing Inspection
WO-00140,impeller_erosion,Impeller Replacement Kit
WO-00140,impeller_erosion,Flow Rate Calibration
WO-00141,motor_winding_failure,Motor Winding Repair Kit
WO-00141,motor_winding_failure,Cooling System Check
WO-00141,motor_winding_failure,Insulation Test
WO-00142,lubrication_failure,Oil Sample Test
WO-00142,lubrication_failure,Seal Inspection
WO-00142,lubrication_failure,Filter Replacement
WO-00143,motor_winding_failure,Motor Current Calibration
WO-00143,motor_winding_failure,Insulation Test
WO-00143,motor_winding_failure,Cooling System Check
WO-00143,motor_winding_failure,Motor Winding Repair Kit
WO-00144,motor_winding_failure,Motor Current Calibration
WO-00144,motor_winding_failure,Insulation Test
WO-00144,motor_winding_failure,Motor Winding Repair Kit
WO-00145,shaft_misalignment,Coupling Inspection
WO-00145,shaft_misalignment,Shaft Repair Kit
WO-00145,shaft_misalignment,Alignment Check
WO-00145,shaft_misalignment,Vibration Analysis
WO-00146,lubrication_failure,Seal Inspection
WO-00146,lubrication_failure,Oil Sample Test
WO-00147,seal_leakage,Gasket Kit
WO-00147,seal_leakage,Housing Inspection
WO-00148,lubrication_failure,Oil Sample Test
WO-00148,lubrication_failure,Seal Inspection
WO-00148,lubrication_failure,Lubrication Service
WO-00149,rotor_imbalance,Rotor Balancing Kit
WO-00149,rotor_imbalance,Bearing Inspection
WO-00149,rotor_imbalance,Vibration Analysis
WO-00150,rotor_imbalance,Rotor Balancing Kit
WO-00150,rotor_imbalance,Bearing Inspection
WO-00150,rotor_imbalance,Vibration Analysis
WO-00151,motor_winding_failure,Cooling System Check
WO-00151,motor_winding_failure,Insulation Test
WO-00151,motor_winding_failure,Motor Winding Repair Kit
WO-00152,bearing_wear,Vibration Analysis
WO-00152,bearing_wear,Bearing Replacement Kit
WO-00152,bearing_wear,Oil Sample Test
WO-00152,bearing_wear,Lubrication Service
WO-00153,motor_winding_failure,Motor Winding Repair Kit
WO-00153,motor_winding_failure,Cooling System Check
WO-00154,rotor_imbalance,Rotor Balancing Kit
WO-00154,rotor_imbalance,Bearing Inspection
WO-00154,rotor_imbalance,Vibration Analysis
WO-00155,impeller_erosion,Housing Inspection
WO-00155,impeller_erosion,Flow Rate Calibration
WO-00156,motor_winding_failure,Motor Current Calibration
WO-00156,motor_winding_failure,Cooling System Check
WO-00156,motor_winding_failure,Insulation Test
WO-00157,seal_leakage,Seal Replacement Kit
WO-00157,seal_leakage,Pressure Test
WO-00157,seal_leakage,Housing Inspection
WO-00157,seal_leakage,Gasket Kit
WO-00158,lubrication_failure,Lubrication Service
WO-00158,lubrication_failure,Seal Inspection
WO-00158,lubrication_failure,Filter Replacement
WO-00159,rotor_imbalance,Rotor Balancing Kit
WO-00159,rotor_imbalance,Bearing Inspection
WO-00160,impeller_erosion,Housing Inspection
WO-00160,impeller_erosion,Flow Rate Calibration
WO-00160,impeller_erosion,Impeller Replacement Kit
WO-00161,bearing_wear,Alignment Check
WO-00161,bearing_wear,Oil Sample Test
WO-00161,bearing_wear,Vibration Analysis
WO-00162,motor_winding_failure,Insulation Test
WO-00162,motor_winding_failure,Cooling System Check
WO-00163,lubrication_failure,Lubrication Service
WO-00163,lubrication_failure,Filter Replacement
WO-00163,lubrication_failure,Seal Inspection
WO-00164,rotor_imbalance,Rotor Balancing Kit
WO-00164,rotor_imbalance,Bearing Inspection
WO-00164,rotor_imbalance,Vibration Analysis
WO-00165,rotor_imbalance,Bearing Inspection
WO-00165,rotor_imbalance,Vibration Analysis
WO-00165,rotor_imbalance,Rotor Balancing Kit
WO-00166,shaft_misalignment,Vibration Analysis
WO-00166,shaft_misalignment,Shaft Repair Kit
WO-00166,shaft_misalignment,Coupling Inspection
WO-00167,seal_leakage,Housing Inspection
WO-00167,seal_leakage,Gasket Kit
WO-00167,seal_leakage,Seal Replacement Kit
WO-00167,seal_leakage,Pressure Test
WO-00168,impeller_erosion,Housing Inspection
WO-00168,impeller_erosion,Flow Rate Calibration
WO-00168,impeller_erosion,Impeller Replacement Kit
WO-00169,shaft_misalignment,Alignment Check
